nu	S
2.562512150000000020e+02	6.105999999999999960e-27
2.563219230000000266e+02	2.488999999999999899e-30
2.563523289999999974e+02	1.239999999999999998e-30
2.564258530000000178e+02	1.105999999999999980e-29
2.564694729999999936e+02	3.727999999999999694e-30
2.565662100000000123e+02	3.690000000000000027e-30
2.566110530000000267e+02	1.724000000000000116e-30
2.566352130000000216e+02	3.170000000000000124e-30
2.566704799999999977e+02	2.035000000000000100e-30
2.567061899999999923e+02	1.008000000000000028e-29
2.567552549999999769e+02	1.004999999999999988e-27
2.567987699999999904e+02	9.321000000000000471e-26
2.567987719999999854e+02	3.107000000000000157e-26
2.568705019999999877e+02	6.000000000000000500e-29
2.569437179999999898e+02	9.566000000000000195e-31
2.569617020000000025e+02	8.834000000000000008e-29
2.570457759999999894e+02	2.130999999999999995e-30
2.570608449999999721e+02	1.243999999999999936e-30
2.570979770000000144e+02	5.414999999999999591e-26
2.571000549999999976e+02	8.226000000000000022e-21
2.573773590000000127e+02	2.017999999999999972e-30
2.574424139999999852e+02	2.395000000000000059e-29
2.578818390000000136e+02	5.495000000000000038e-29
2.583109160000000202e+02	1.339000000000000112e-25
2.583306910000000016e+02	3.156000000000000061e-27
2.583307320000000118e+02	1.052000000000000020e-27
2.584202750000000037e+02	1.973000000000000034e-22
2.584369649999999865e+02	1.261999999999999939e-22
2.586683160000000044e+02	3.175999999999999824e-24
2.586979509999999891e+02	1.898000000000000102e-30
2.588190169999999739e+02	9.534000000000000556e-24
2.593144730000000209e+02	8.526000000000000139e-27
2.594836320000000001e+02	8.611000000000000185e-27
2.594836359999999900e+02	2.583000000000000091e-26
2.597114310000000046e+02	2.070000000000000094e-27
2.598537170000000174e+02	4.888999999999999819e-29
2.600052269999999908e+02	2.737000000000000200e-28
2.601483370000000264e+02	6.974999999999999881e-30
2.602201749999999834e+02	6.209000000000000489e-29
2.603084769999999821e+02	2.509999999999999817e-28
2.603219960000000128e+02	3.663999999999999857e-28
2.603221320000000105e+02	1.099000000000000052e-27
2.603636169999999765e+02	2.507999999999999873e-27
2.605405779999999822e+02	2.285000000000000120e-30
2.607062589999999886e+02	3.868000000000000183e-26
2.608956410000000119e+02	1.511999999999999902e-28
2.609164460000000076e+02	4.431999999999999865e-30
2.610088509999999928e+02	1.933999999999999993e-29
2.612087839999999801e+02	4.794999999999999979e-29
2.612709600000000023e+02	1.162999999999999921e-25
2.613656809999999950e+02	1.225999999999999955e-30
2.615171490000000176e+02	9.235000000000000349e-30
2.616179950000000076e+02	2.923999999999999865e-30
2.616538519999999721e+02	2.551000000000000016e-28
2.616686119999999960e+02	3.027000000000000168e-27
2.617486949999999979e+02	6.974000000000000413e-29
2.617612540000000081e+02	2.091999999999999838e-28
2.619008450000000039e+02	1.262999999999999909e-28
2.620005610000000047e+02	3.457999999999999812e-30
